title,rating,rating_count,status,view,genres
"A Campus Romance, I Guess",2.5,2,Ongoing,23,"['Comedy', 'Drama', 'Fantasy', 'Manhwa', 'Romance', 'School Life', 'Shoujo']"
Arafoo Shachiku No Golem Master,2.8,4,Ongoing,4771,"['Action', 'Fantasy', 'Seinen']"
Uicheon Doryonggi,3.3,3,Ongoing,454,"['Manhwa', 'Martial Arts']"
Debut or Die,3,139,Ongoing,25347,"['Manhwa', 'Shounen']"
Getting Devoured by a Man-Eating Youkai,3.5,2,Ongoing,1595,"['Action', 'Romance', 'Slice of Life', 'Supernatural']"
Leviathan,3,104,Completed,88765,"['Fantasy', 'Manhwa', 'Tragedy']"
"My childhood friend who I used to train swordsmanship with became a slave, so I, as an S-Rank adventurer decided to buy her and protect her.",2.4,33,Ongoing,17583,"['Action', 'Adult', 'Fantasy', 'Romance', 'Adventure']"
The Parakeet Wants to tell you,1.4,9,Ongoing,1719,"['Comedy', 'Romance']"
Star-Slaying Swordsman,2,1,Ongoing,2703,"['Action', 'Fantasy', 'Shounen', 'Adventure']"
Kakegurui,2.6,10,Ongoing,4256,"['Drama', 'Mature', 'Psychological', 'School Life', 'Shounen', 'Manga']"
"Ceo Above, Me Below",2.9,6,Ongoing,7990,"['Drama', 'Josei', 'Manhua', 'Romance']"
Dantou no Archange,2.8,14,Ongoing,3474,"['Historical', 'Tragedy']"
My Wife Is From a Thousand Years Ago,2.7,247,Ongoing,67372,"['Drama', 'Fantasy', 'Manhua', 'Romance', 'Slice of Life', 'Supernatural']"
I Can't Die Today Because You Are Too Weak,0.5,1,Ongoing,7714,"['Action', 'Drama', 'Fantasy', 'Manhua', 'Supernatural', 'Adventure']"
"I, The Villain of Destiny Will Become the Righteous Patriarch",2.8,174,Ongoing,9664,"['Action', 'Drama', 'Fantasy', 'Manhua', 'Martial Arts', 'Shounen']"
